Algorithm,算法,Data_Type,数据分布,Size,规模,Time_us,时间微秒,Selected_Boxes,保留框数量
Quick_Sort,快速排序,Random,随机分布,100,100,0,0,100,100
Quick_Sort,快速排序,Random,随机分布,500,500,6545,6545,498,498
Quick_Sort,快速排序,Random,随机分布,1000,1000,15695,15695,980,980
Quick_Sort,快速排序,Random,随机分布,5000,5000,370201,370201,4460,4460
Quick_Sort,快速排序,Random,随机分布,10000,10000,1459364,1459364,8224,8224
Merge_Sort,归并排序,Random,随机分布,100,100,0,0,100,100
Merge_Sort,归并排序,Random,随机分布,500,500,3347,3347,498,498
Merge_Sort,归并排序,Random,随机分布,1000,1000,15189,15189,980,980
Merge_Sort,归并排序,Random,随机分布,5000,5000,384726,384726,4460,4460
Merge_Sort,归并排序,Random,随机分布,10000,10000,1476773,1476773,8224,8224
Heap_Sort,堆排序,Random,随机分布,100,100,1041,1041,100,100
Heap_Sort,堆排序,Random,随机分布,500,500,3506,3506,498,498
Heap_Sort,堆排序,Random,随机分布,1000,1000,17169,17169,980,980
Heap_Sort,堆排序,Random,随机分布,5000,5000,380590,380590,4465,4465
Heap_Sort,堆排序,Random,随机分布,10000,10000,1474926,1474926,8226,8226
Selection_Sort,选择排序,Random,随机分布,100,100,0,0,100,100
Selection_Sort,选择排序,Random,随机分布,500,500,4396,4396,498,498
Selection_Sort,选择排序,Random,随机分布,1000,1000,17436,17436,980,980
Selection_Sort,选择排序,Random,随机分布,5000,5000,398652,398652,4460,4460
Selection_Sort,选择排序,Random,随机分布,10000,10000,1548504,1548504,8224,8224
Bubble_Sort,冒泡排序,Random,随机分布,100,100,0,0,100,100
Bubble_Sort,冒泡排序,Random,随机分布,500,500,4613,4613,498,498
Bubble_Sort,冒泡排序,Random,随机分布,1000,1000,17909,17909,980,980
Bubble_Sort,冒泡排序,Random,随机分布,5000,5000,435581,435581,4460,4460
Bubble_Sort,冒泡排序,Random,随机分布,10000,10000,1736354,1736354,8224,8224
Quick_Sort,快速排序,Clustered,聚集分布,100,100,0,0,100,100
Quick_Sort,快速排序,Clustered,聚集分布,500,500,4241,4241,495,495
Quick_Sort,快速排序,Clustered,聚集分布,1000,1000,14991,14991,980,980
Quick_Sort,快速排序,Clustered,聚集分布,5000,5000,389050,389050,4605,4605
Quick_Sort,快速排序,Clustered,聚集分布,10000,10000,1505200,1505200,8590,8590
Merge_Sort,归并排序,Clustered,聚集分布,100,100,0,0,100,100
Merge_Sort,归并排序,Clustered,聚集分布,500,500,4122,4122,495,495
Merge_Sort,归并排序,Clustered,聚集分布,1000,1000,15576,15576,980,980
Merge_Sort,归并排序,Clustered,聚集分布,5000,5000,390052,390052,4605,4605
Merge_Sort,归并排序,Clustered,聚集分布,10000,10000,1490101,1490101,8590,8590
Heap_Sort,堆排序,Clustered,聚集分布,100,100,1002,1002,100,100
Heap_Sort,堆排序,Clustered,聚集分布,500,500,3442,3442,495,495
Heap_Sort,堆排序,Clustered,聚集分布,1000,1000,15040,15040,980,980
Heap_Sort,堆排序,Clustered,聚集分布,5000,5000,385352,385352,4618,4618
Heap_Sort,堆排序,Clustered,聚集分布,10000,10000,1489140,1489140,8597,8597
Selection_Sort,选择排序,Clustered,聚集分布,100,100,1411,1411,100,100
Selection_Sort,选择排序,Clustered,聚集分布,500,500,3266,3266,495,495
Selection_Sort,选择排序,Clustered,聚集分布,1000,1000,15986,15986,980,980
Selection_Sort,选择排序,Clustered,聚集分布,5000,5000,399748,399748,4605,4605
Selection_Sort,选择排序,Clustered,聚集分布,10000,10000,1610032,1610032,8590,8590
Bubble_Sort,冒泡排序,Clustered,聚集分布,100,100,0,0,100,100
Bubble_Sort,冒泡排序,Clustered,聚集分布,500,500,4984,4984,495,495
Bubble_Sort,冒泡排序,Clustered,聚集分布,1000,1000,17978,17978,980,980
Bubble_Sort,冒泡排序,Clustered,聚集分布,5000,5000,438097,438097,4605,4605
Bubble_Sort,冒泡排序,Clustered,聚集分布,10000,10000,1759658,1759658,8590,8590
